City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Isangel,VU,2021-04-04 04:48:04,-19.55,169.2667,79.07,81,99,19.44,overcast clouds
60,Kemijarvi,FI,2021-04-04 04:54:02,66.7131,27.4306,31.75,96,100,8.08,overcast clouds
61,Cidreira,BR,2021-04-04 04:47:04,-30.1811,-50.2056,71.47,79,46,15.46,scattered clouds
62,San Patricio,US,2021-04-04 04:47:44,28.017,-97.5169,68.0,73,75,4.61,broken clouds
63,Seoul,KR,2021-04-04 04:49:28,37.5683,126.9778,59.0,55,40,4.61,scattered clouds
64,Cap Malheureux,MU,2021-04-04 04:54:02,-19.9842,57.6142,84.0,72,12,5.99,few clouds
65,Avarua,CK,2021-04-04 04:46:58,-21.2078,-159.775,80.6,83,20,11.5,few clouds
66,Tashtyp,RU,2021-04-04 04:54:03,52.7939,89.8983,44.1,49,24,0.81,few clouds
67,Atuona,PF,2021-04-04 04:47:11,-9.8,-139.0333,80.78,75,100,13.69,overcast clouds
68,Matadi,CD,2021-04-04 04:54:03,-5.8167,13.45,75.51,97,100,0.74,overcast clouds
69,Kenai,US,2021-04-04 04:54:04,60.5544,-151.2583,39.2,80,40,3.44,scattered clouds
70,Severo-Kurilsk,RU,2021-04-04 04:47:12,50.6789,156.125,33.06,80,66,22.46,broken clouds
71,Kavaratti,IN,2021-04-04 04:54:04,10.5669,72.642,82.49,66,37,10.16,scattered clouds
72,Emba,KZ,2021-04-04 04:54:04,48.8264,58.1442,34.48,97,100,10.74,overcast clouds
73,Laramie,US,2021-04-04 04:54:05,41.3114,-105.5911,42.01,42,1,9.22,clear sky
74,Swan River,CA,2021-04-04 04:54:05,52.1058,-101.2676,35.6,69,90,2.26,overcast clouds
75,Bushehr,IR,2021-04-04 04:54:05,28.9684,50.8385,66.2,59,75,18.41,broken clouds
76,Sao Domingos,BR,2021-04-04 04:54:06,-13.3983,-46.3183,73.13,70,32,1.97,scattered clouds
77,Estelle,US,2021-04-04 04:54:06,29.8458,-90.1067,60.8,63,1,5.75,clear sky
78,Ribeira Grande,PT,2021-04-04 04:47:07,38.5167,-28.7,58.15,89,100,31.05,overcast clouds
79,Tuktoyaktuk,CA,2021-04-04 04:47:57,69.4541,-133.0374,-14.8,76,20,6.91,few clouds
80,Clyde River,CA,2021-04-04 04:47:56,70.4692,-68.5914,-14.8,84,75,12.66,light snow
81,Jefferson City,US,2021-04-04 04:49:54,38.5767,-92.1735,57.2,47,1,7.16,clear sky
82,Hithadhoo,MV,2021-04-04 04:54:07,-0.6,73.0833,83.79,74,79,15.59,broken clouds
83,Chuy,UY,2021-04-04 04:48:11,-33.6971,-53.4616,63.99,91,1,5.93,clear sky
84,Maragogi,BR,2021-04-04 04:54:07,-9.0122,-35.2225,76.89,87,31,5.82,scattered clouds
85,Bredasdorp,ZA,2021-04-04 04:46:59,-34.5322,20.0403,50.0,87,0,1.14,clear sky
86,Cayenne,GF,2021-04-04 04:47:52,4.9333,-52.3333,80.01,94,75,10.13,broken clouds
87,Patiya,BD,2021-04-04 04:54:08,22.2931,91.9762,87.8,62,90,7.56,haze
88,Suraabad,AZ,2021-04-04 04:54:08,40.8192,49.4687,53.6,82,40,9.22,scattered clouds
89,Puerto Del Rosario,ES,2021-04-04 04:54:08,28.5004,-13.8627,64.4,59,90,8.05,overcast clouds
90,Tobolsk,RU,2021-04-04 04:54:09,58.2,68.2667,37.06,74,100,11.52,overcast clouds
91,Pontes E Lacerda,BR,2021-04-04 04:54:10,-15.2261,-59.3353,72.84,93,100,0.92,moderate rain
92,Dunedin,NZ,2021-04-04 04:54:10,-45.8742,170.5036,63.0,72,16,14.0,few clouds
93,Teguldet,RU,2021-04-04 04:54:10,57.3064,88.1667,33.51,99,100,5.73,overcast clouds
94,Kapaa,US,2021-04-04 04:43:24,22.0752,-159.319,75.2,69,75,17.27,light rain
95,Okhotsk,RU,2021-04-04 04:54:11,59.3833,143.3,29.03,62,100,9.89,overcast clouds
96,Altay,CN,2021-04-04 04:54:11,47.8667,88.1167,47.32,48,31,1.48,scattered clouds
97,Dikson,RU,2021-04-04 04:41:59,73.5069,80.5464,-3.59,72,98,4.5,overcast clouds
98,Bijar,IR,2021-04-04 04:54:11,35.8668,47.6051,37.83,59,4,5.59,clear sky
99,Zhangye,CN,2021-04-04 04:54:12,38.9342,100.4517,52.0,29,37,4.14,scattered clouds
100,Sao Filipe,CV,2021-04-04 04:47:30,14.8961,-24.4956,72.93,74,99,10.67,overcast clouds
101,Yar-Sale,RU,2021-04-04 04:54:12,66.8333,70.8333,23.94,96,100,2.64,overcast clouds
102,Thompson,CA,2021-04-04 04:47:24,55.7435,-97.8558,30.2,55,1,4.61,clear sky
103,Innisfail,AU,2021-04-04 04:54:13,-17.5333,146.0333,73.96,95,100,2.91,light rain
104,Esperance,AU,2021-04-04 04:42:47,-33.8667,121.9,78.8,47,37,16.11,scattered clouds
105,Morant Bay,JM,2021-04-04 04:54:13,17.8815,-76.4093,78.01,88,75,4.61,broken clouds
106,Sorong,ID,2021-04-04 04:54:14,-0.8833,131.25,84.63,71,88,6.85,overcast clouds
107,Constitucion,CL,2021-04-04 04:47:37,-35.3333,-72.4167,55.65,72,0,3.85,clear sky
108,Port Alfred,ZA,2021-04-04 04:47:09,-33.5906,26.891,61.23,76,0,6.93,clear sky
109,Sakakah,SA,2021-04-04 04:54:14,29.9697,40.2064,50.0,32,0,4.61,clear sky
110,Marawi,PH,2021-04-04 04:54:15,7.9986,124.2928,81.93,60,88,8.9,overcast clouds
111,Uspenka,UA,2021-04-04 04:54:15,48.3903,39.1619,40.51,78,81,3.2,broken clouds
112,Najran,SA,2021-04-04 04:47:22,17.4924,44.1277,66.2,30,46,6.91,dust
113,West Odessa,US,2021-04-04 04:54:15,31.8424,-102.4988,57.2,77,90,18.41,overcast clouds
114,Kysyl-Syr,RU,2021-04-04 04:54:16,63.8986,122.7617,5.38,78,98,4.09,overcast clouds
115,Khatanga,RU,2021-04-04 04:47:45,71.9667,102.5,1.0,77,7,9.01,clear sky
116,Port Elizabeth,ZA,2021-04-04 04:43:53,-33.918,25.5701,55.4,94,0,4.61,clear sky
117,Souillac,MU,2021-04-04 04:45:16,-20.5167,57.5167,80.6,83,75,9.22,broken clouds
118,Matagami,CA,2021-04-04 04:54:17,49.7502,-77.6328,32.0,100,90,2.3,light snow
119,Pevek,RU,2021-04-04 04:47:35,69.7008,170.3133,-9.13,96,97,5.86,overcast clouds
120,Petersberg,DE,2021-04-04 04:54:17,50.5619,9.7131,36.0,90,75,1.01,broken clouds
121,Batobalani,PH,2021-04-04 04:54:17,14.2366,122.7434,86.11,60,11,9.66,few clouds
122,Guerrero Negro,MX,2021-04-04 04:46:13,27.9769,-114.0611,60.17,83,0,12.55,clear sky
123,Siuna,NI,2021-04-04 04:54:18,13.7332,-84.7773,68.36,95,6,4.05,clear sky
124,Arraial Do Cabo,BR,2021-04-04 04:47:55,-22.9661,-42.0278,73.94,80,34,7.63,scattered clouds
125,Ponta Do Sol,PT,2021-04-04 04:47:02,32.6667,-17.1,59.0,67,40,4.61,scattered clouds
126,Georgetown,MY,2021-04-04 04:47:19,5.4112,100.3354,89.01,70,20,3.44,light rain
127,Bluff,NZ,2021-04-04 04:47:12,-46.6,168.3333,60.01,77,35,21.0,scattered clouds
128,Zabol,AF,2021-04-04 04:54:19,32.25,67.25,68.52,23,71,6.11,broken clouds
129,Grootfontein,NA,2021-04-04 04:54:19,-19.5667,18.1167,57.2,88,0,3.44,clear sky
130,Sitka,US,2021-04-04 04:47:04,57.0531,-135.33,37.4,75,90,4.61,overcast clouds
131,New Norfolk,AU,2021-04-04 04:46:59,-42.7826,147.0587,66.99,45,58,11.99,broken clouds
132,Mandiana,GN,2021-04-04 04:54:20,10.6333,-8.6833,76.73,29,16,4.9,few clouds
133,Vila Franca Do Campo,PT,2021-04-04 04:54:20,37.7167,-25.4333,60.8,88,75,21.85,broken clouds
134,Villa Altagracia,DO,2021-04-04 04:54:20,18.673,-70.171,77.0,79,77,3.0,broken clouds
135,Flinders,AU,2021-04-04 04:47:36,-34.5833,150.8552,80.01,67,18,7.0,few clouds
136,Cape Town,ZA,2021-04-04 04:47:07,-33.9258,18.4232,66.0,94,75,3.44,broken clouds
137,Swan Hill,AU,2021-04-04 04:54:21,-35.3378,143.5544,91.22,17,0,4.07,clear sky
138,Ndola,ZM,2021-04-04 04:54:03,-12.9587,28.6366,60.66,93,22,3.04,few clouds
139,Sirnak,TR,2021-04-04 04:54:22,37.5228,42.4594,44.46,55,7,3.0,clear sky
140,Butaritari,KI,2021-04-04 04:47:33,3.0707,172.7902,82.29,78,20,13.22,light rain
141,Kupang,ID,2021-04-04 04:54:22,-10.1667,123.5833,75.2,100,90,14.97,heavy intensity rain
142,Netishyn,UA,2021-04-04 04:54:22,50.34,26.6417,32.0,93,0,6.71,clear sky
143,Kaitangata,NZ,2021-04-04 04:47:15,-46.2817,169.8464,63.0,61,37,23.0,scattered clouds
144,Hoquiam,US,2021-04-04 04:54:23,46.9809,-123.8893,48.99,93,90,10.36,overcast clouds
